,Institution Name,Grand total (EF2020  All students total),Grand total (EF2020  All students  Undergraduate total),Grand total (EF2019_RV  All students total),Grand total (EF2019_RV  All students  Undergraduate total),Grand total (EF2018_RV  All students total),Grand total (EF2018_RV  All students  Undergraduate total),Grand total (EF2017_RV  All students total),Grand total (EF2017_RV  All students  Undergraduate total),Grand total (EF2016_RV  All students total),Grand total (EF2016_RV  All students  Undergraduate total),Grand total (EF2015_RV  All students total),Grand total (EF2015_RV  All students  Undergraduate total),Grand total (EF2014_RV  All students total),Grand total (EF2014_RV  All students  Undergraduate total),Grand total (EF2013_RV  All students total),Grand total (EF2013_RV  All students  Undergraduate total),Grand total (EF2012_RV  All students total),Grand total (EF2012_RV  All students  Undergraduate total),Grand total (EF2011_RV  All students total),Grand total (EF2011_RV  All students  Undergraduate total),Grand total (EF2010_RV  All students total),Grand total (EF2010_RV  All students  Undergraduate total),Grand total (EF2009_RV  All students total),Grand total (EF2009_RV  All students  Undergraduate total),Grand total (EF2008_RV  All students total),Grand total (EF2008_RV  All students  Undergraduate total),Grand total (EF2007_RV  All students total),Grand total (EF2007_RV  All students  Undergraduate total),Grand total (EF2006_RV  All students total),Grand total (EF2006_RV  All students  Undergraduate total),Grand total (EF2005_RV  All students total),Grand total (EF2005_RV  All students  Undergraduate total),Grand total (EF2004_RV  All students total),Grand total (EF2004_RV  All students  Undergraduate total),Grand total (EF2003  All students total),Grand total (EF2003  All students  Undergraduate total),Grand total (EF2002  All students total),Grand total (EF2002  All students  Undergraduate total),Grand total (EF2001  All students total),Grand total (EF2001  All students  Undergraduate total),Grand total (EF2000  All students total),Grand total (EF2000  All students  Undergraduate total)
0,Central Michigan University,17311,13031,19362,14627,21622,16387,23257,17804,25986,19877,26825,20415,26879,20671,26841,20534,27626,21332,28194,21698,28292,21633,27247,20581,27225,20540,26611,20078,26710,20129,27221,19997,27683,19916,27758,19642,27919,19696,27797,19530,26845,18620
1,Eastern Michigan University,16294,13572,17784,14872,18808,15730,20525,17217,21246,17682,21824,17951,22401,18340,23447,19189,23518,18927,23419,18621,23565,18554,22893,17780,22032,17283,22837,17962,22950,18245,23486,18666,23862,19000,24419,19668,24532,18851,24287,18660,23561,18189
2,Ferris State University,11165,9929,12472,11184,13250,11896,13798,12512,14187,12866,14715,13348,14600,13373,14707,13477,14533,13271,14560,13357,14381,13168,13865,12595,13532,12250,13087,11839,12574,11413,12547,11437,11803,10711,11821,10767,11074,10176,10930,10092,9847,9235
3,Grand Valley State University,23350,20405,24033,21112,24677,21680,25049,21937,25460,22209,25325,21972,25094,21636,24477,21235,24654,21317,24662,21236,24541,20986,24408,20850,23892,20416,23464,19806,23295,19578,22565,18903,22063,18393,21429,17807,20407,16875,19762,16385,18569,15211
4,Lake Superior State University,1909,1909,1984,1984,1991,1991,1963,1963,2099,2099,2249,2249,2407,2406,2435,2429,2590,2582,2805,2727,2662,2588,2588,2568,2575,2557,2819,2799,2897,2889,2919,2916,2888,2888,3256,3256,3321,3314,3142,3110,3118,3068
5,Michigan State University,49695,38491,49809,39176,50351,39423,50019,38996,50340,39090,50538,39143,50081,38786,49317,37985,48783,37354,47825,36557,46985,35921,47071,36290,46510,36205,46045,36072,45520,35821,45166,35678,44836,35408,44542,34853,44937,35197,44227,34874,43366,34342
6,Michigan Technological University,6873,5640,7027,5750,7172,5797,7292,5890,7252,5811,7218,5697,7099,5658,6975,5617,6933,5611,7022,5719,6971,5715,7136,5930,7009,6025,6744,5832,6546,5630,6506,5611,6527,5696,6550,5750,6619,5909,6603,5931,6336,5666
7,Northern Michigan University,7368,6734,7732,7136,7595,7089,7612,7018,7865,7168,8303,7507,8781,8001,8918,8221,9159,8474,9405,8712,9417,8719,9428,8684,9347,8598,9358,8634,9689,8880,9500,8698,9331,8603,9326,8536,9016,8113,8577,7724,8427,7575
8,Oakland University,18552,15100,19013,15543,19309,15799,19333,15901,20012,16568,20261,16793,20519,16935,20169,16594,19740,16190,19379,15838,19053,15530,18918,15273,18175,14397,18081,14089,17737,13701,17339,13448,16902,13115,16575,12958,16059,12634,15875,12529,15235,12002
9,Saginaw Valley State University,8028,7203,8251,7476,8515,7719,8617,7846,9105,8335,9633,8786,9829,8930,10245,9168,10552,9310,10790,9364,10656,9116,10498,8800,9837,8190,9662,7984,9543,7933,9569,7931,9448,7789,9178,7590,9189,7506,8936,7320,8622,7059
10,University of Michigan-Ann Arbor,47907,31329,48090,31266,46716,30318,46002,29821,44718,28983,43651,28312,43625,28395,43710,28283,43426,27979,42716,27407,41924,27027,41674,26208,41028,25994,41042,26083,40025,25555,39993,25467,39533,24828,39031,24517,38972,24472,38248,24547,38103,24412
11,University of Michigan-Dearborn,8783,6725,9191,6910,9460,7177,9330,7132,9131,7141,9066,7202,8923,7171,8748,7144,8790,7328,8664,7188,8599,7006,8379,6778,8311,6588,8336,6447,8342,6448,8369,6388,8420,6289,8747,6434,8486,6361,8144,6326,8400,6615
12,University of Michigan-Flint,6829,5424,7297,5862,7532,6097,7836,6434,8044,6585,8470,6868,8574,7078,8555,7143,8289,6984,8262,6959,8138,6874,7773,6581,7260,6155,6883,5824,6527,5600,6422,5671,6188,5620,6152,5578,6434,5877,6397,5879,6316,5786
13,Wayne State University,26241,17503,26824,17643,27025,17574,27064,17297,27238,17220,27140,17587,27578,18347,27897,18602,28938,19342,30765,20589,31505,20837,31786,20765,31024,20122,32380,21145,32061,20892,32160,20737,32386,20712,32208,20150,31167,18407,31040,18489,30408,18093
14,Western Michigan University,19887,15969,21470,17051,22562,17760,22869,17936,23227,18313,23529,18567,23914,18889,24294,19198,24598,19478,25086,20054,25045,19966,24576,19547,24818,19854,24433,19718,24841,20081,26239,21434,27829,22502,29178,23309,29732,23643,28931,23156,28657,22756
