,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
0,20287.0,20665.0,20709.0,20766.0,20276.0,20264.0,19768.0,19276.0,19149.0,18908.0,18622.0,18179.0,17743.0,17155.0,16639.0,16205.0,15429.0,15566.0,15200.0,14692.0
1,18420.0,18798.0,18881.0,18905.0,18554.0,18433.0,18057.0,17526.0,17329.0,17086.0,16845.0,16489.0,16205.0,15651.0,15259.0,14885.0,14275.0,14354.0,14063.0,13720.0
2,1307.0,1097.0,1042.0,1070.0,994.0,963.0,1087.0,905.0,778.0,814.0,812.0,792.0,711.0,763.0,754.0,733.0,679.0,637.0,765.0,870.0
3,1867.0,1925.0,1828.0,1861.0,1722.0,1831.0,1711.0,1750.0,1820.0,1822.0,1777.0,1690.0,1538.0,1504.0,1380.0,1320.0,1154.0,1212.0,1137.0,972.0
4,4505.0,4456.0,4541.0,4669.0,4505.0,4408.0,4364.0,4202.0,4325.0,4029.0,4001.0,3952.0,3957.0,3867.0,3748.0,3798.0,3285.0,3388.0,,3249.0
5,693.0,734.0,739.0,814.0,784.0,651.0,677.0,621.0,626.0,733.0,660.0,683.0,651.0,659.0,702.0,,,,,
